Collection,Name,Checkpoint
MinkUNet,minkunet18_w16_torchsparse_8xb2-amp-15e_semantickitti,./configs/minkunet/./configs/minkunet/minkunet_w16_8xb2-15e_semantickitti_20230309_160737-0d8ec25b (1).pth
MinkUNet,minkunet18_w20_torchsparse_8xb2-amp-15e_semantickitti,./configs/minkunet/./configs/minkunet/minkunet_w20_8xb2-15e_semantickitti_20230309_160718-c3b92e6e.pth
MinkUNet,minkunet18_w32_torchsparse_8xb2-amp-15e_semantickitti,./configs/minkunet/./configs/minkunet/minkunet_w32_8xb2-15e_semantickitti_20230309_160710-7fa0a6f1.pth
MinkUNet,minkunet34_w32_minkowski_8xb2-laser-polar-mix-3x_semantickitti,./configs/minkunet/./configs/minkunet/minkunet34_w32_minkowski_8xb2-laser-polar-mix-3x_semantickitti_20230514_202236-839847a8.pth
MinkUNet,minkunet34_w32_spconv_8xb2-amp-laser-polar-mix-3x_semantickitti,./configs/minkunet/./configs/minkunet/minkunet34_w32_spconv_8xb2-amp-laser-polar-mix-3x_semantickitti_20230512_233152-e0698a0f.pth
MinkUNet,minkunet34_w32_spconv_8xb2-laser-polar-mix-3x_semantickitti,./configs/minkunet/./configs/minkunet/minkunet34_w32_spconv_8xb2-laser-polar-mix-3x_semantickitti_20230512_233817-72b200d8.pth
MinkUNet,minkunet34_w32_torchsparse_8xb2-amp-laser-polar-mix-3x_semantickitti,./configs/minkunet/./configs/minkunet/minkunet34_w32_torchsparse_8xb2-amp-laser-polar-mix-3x_semantickitti_20230512_233511-bef6cad0.pth
MinkUNet,minkunet34_w32_torchsparse_8xb2-laser-polar-mix-3x_semantickitti,./configs/minkunet/./configs/minkunet/minkunet34_w32_torchsparse_8xb2-laser-polar-mix-3x_semantickitti_20230512_233601-2b61b0ab.pth
MinkUNet,minkunet34v2_w32_torchsparse_8xb2-amp-laser-polar-mix-3x_semantickitti,./configs/minkunet/./configs/minkunet/minkunet34v2_w32_torchsparse_8xb2-amp-laser-polar-mix-3x_semantickitti_20230510_221853-b14a68b3.pth
Mask R-CNN,mask-rcnn_r50_fpn_1x_nuim,./configs/nuimages/./configs/nuimages/mask_rcnn_r50_fpn_1x_nuim_20201008_195238-e99f5182.pth
Mask R-CNN,mask-rcnn_r50_fpn_coco-2x_1x_nuim,./configs/nuimages/./configs/nuimages/mask_rcnn_r50_fpn_coco-2x_1x_nuim_20201008_195238-b1742a60.pth
Mask R-CNN,mask-rcnn_r50_caffe_fpn_coco-3x_1x_nuim,./configs/nuimages/./configs/nuimages/mask_rcnn_r50_caffe_fpn_coco-3x_1x_nuim_20201008_195305-661a992e.pth
Mask R-CNN,mask-rcnn_r50_caffe_fpn_coco-3x_20e_nuim,./configs/nuimages/./configs/nuimages/mask_rcnn_r50_caffe_fpn_coco-3x_20e_nuim_20201009_125002-5529442c.pth
Mask R-CNN,mask-rcnn_r101_fpn_1x_nuim,./configs/nuimages/./configs/nuimages/mask_rcnn_r101_fpn_1x_nuim_20201024_134803-65c7623a.pth
Mask R-CNN,mask-rcnn_x101_32x4d_fpn_1x_nuim,./configs/nuimages/./configs/nuimages/mask_rcnn_x101_32x4d_fpn_1x_nuim_20201024_135741-b699ab37.pth
Mask R-CNN,cascade-mask-rcnn_r50_fpn_1x_nuim,./configs/nuimages/./configs/nuimages/cascade_mask_rcnn_r50_fpn_1x_nuim_20201008_195342-1147c036.pth
Mask R-CNN,cascade-mask-rcnn_r50_fpn_coco-20e_1x_nuim,./configs/nuimages/./configs/nuimages/cascade_mask_rcnn_r50_fpn_coco-20e_1x_nuim_20201009_124158-ad0540e3.pth
Mask R-CNN,cascade-mask-rcnn_r50_fpn_coco-20e_20e_nuim,./configs/nuimages/./configs/nuimages/cascade_mask_rcnn_r50_fpn_coco-20e_20e_nuim_20201009_124951-40963960.pth
Mask R-CNN,cascade-mask-rcnn_r101_fpn_1x_nuim,./configs/nuimages/./configs/nuimages/cascade_mask_rcnn_r101_fpn_1x_nuim_20201024_134804-45215b1e.pth
Mask R-CNN,cascade-mask-rcnn_x101_32x4d_fpn_1x_nuim,./configs/nuimages/./configs/nuimages/cascade_mask_rcnn_x101_32x4d_fpn_1x_nuim_20201024_135753-e0e49778.pth
